"序号","笔记ID","作者","作者主页","标题","点赞数","收藏数","评论数","分享数","发布时间","笔记描述","主题","笔记链接","图片链接","视频链接","cookie"
11,"698409dd0000000022023f8c","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","再挑剔的中咪，也搞不过他那会买的美丽妈妈","2.5万","3098","1481","853","2026/02/05","【本期客户噬甜也不怕】
#袋鼠妈妈抗糖防蛀牙膏[话题]#","[""#袋鼠妈妈抗糖防蛀牙膏""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/698409dd0000000022023f8c?xsec_token=ABJ-L64c4SkQzZ5-j1qjRSgU3mdYOfre4nxZoDCWMA1M4=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/4916f0c4141e05685d46f90230d29422/spectrum/1040g0k031s5hejh45a0049pjunnhaq6p6vqp980!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e982ed23b7a2fd010370039c2bcbde44_259.mp4",""
12,"698494de0000000022033fe3","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","马上过春节了！新的一年当然要容光焕发！","1.2万","2103","628","438","2026/02/05","【本期视频有一位客户奢养我的发】
#卡诗元气姜精华[话题]#","[""#卡诗元气姜精华""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/698494de0000000022033fe3?xsec_token=ABJ-L64c4SkQzZ5-j1qjRSgYCC3owT3_8phLvfE2wGXzQ=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/434bd9a400966f8d28160180aa7c3adb/spectrum/1040g34o31s757jtt561049pjunnhaq6pto8eajo!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e98494de9d0bd7010370039c2debebaa_259.mp4",""
13,"697c846d000000002200aff6","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","旅行也要舒舒服服 | 我住民宿的必备好物","1.8万","4195","2636","699","2026/01/30","【本期视频由一位洗衣搭子赞助播出】
#贝克曼博士洗衣片[话题]#","[""#贝克曼博士洗衣片""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/697c846d000000002200aff6?xsec_token=ABVv2RyPJ_XAQAwtkJWRakhKzRGiIkR8mTUxLpuJRMm8M=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/1428516912d0848edaed19e7e282049e/spectrum/1040g0k031rv95qv6ji0049pjunnhaq6pftu6g30!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e97c82ef34d5e4010370039c0e6a46d3_259.mp4",""
14,"697847fa000000002202256f","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","热烈欢迎谢依霖！来看看她的疗愈好物！","7.7万","6915","5325","1.6万","2026/01/27","（原来她平时都是这样放松身心让自己快乐的🤔️（这期有些地方有点那个😳
【本期视频无广纯疗愈】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/697847fa000000002202256f?xsec_token=ABW1m9jriNkuhweiGiEEp2Nnq0K-0rrKpY4BzXDHyYwJ4=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/419043e61506e352107dd12917b6cac6/spectrum/1040g34o31rr2cfhji81049pjunnhaq6pdhmqi50!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e97844a11a6a09010370039bfde500bb_259.mp4",""
15,"696859eb000000001a0377fc","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","新年新货色！护肤品们新年都给我卷起来！！","1.1万","3347","981","459","2026/01/16","【本期视频有一位客户为您解忧】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/696859eb000000001a0377fc?xsec_token=ABosl_Yju_28bUthOBnRGfEABGDVmQVG6kiqcfzoHicqk=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/6062d2e29ea1b962c2bf4bd32b985b23/spectrum/1040g0k031rbipnprn07049pjunnhaq6p0qkm2p0!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e969d558ed77ca010370039bc56e3354_259.mp4",""
16,"6968ac140000000022031ebf","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","新的一年！新的！饮品品鉴大会！","8万","1.2万","3437","3784","2026/01/15","【本期视频客户好好喝啊】
#金典鲜活纯牛奶[话题]#","[""#金典鲜活纯牛奶""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/6968ac140000000022031ebf?xsec_token=ABosl_Yju_28bUthOBnRGfEK61ZKeaCeCtF6TS7HtDNog=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/07f3dbed84cc365ccbd5293745d80efb/spectrum/1040g0k031ral152che0049pjunnhaq6p35gtgkg!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e9676873073bb6010370039bc0e472ab_259.mp4",""
17,"6968bf7c000000002102a9e6","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","【搞笑】访谈现场小pa愤然离席，何以至此？","3.8万","1514","1452","1795","2026/01/15","请看本期精彩节目👏","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/6968bf7c000000002102a9e6?xsec_token=ABosl_Yju_28bUthOBnRGfEKIZRUwo8lwf9ZdPnXS5OEk=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/7ca999dbb08b10192dce701b3c4421ee/spectrum/1040g34o31rbvit6o701049pjunnhaq6pt4sf630!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e968ba4137ab9a010370039bc12e78a4_259.mp4",""
18,"69607a0e000000001a025bd2","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","录制前的翻包｜出差才两天，带了那～～么多","1.6万","3736","924","361","2026/01/12","【本期有一位熬夜也不怕的客户】
#枫缇夜间超能精华[话题]#","[""#枫缇夜间超能精华""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/69607a0e000000001a025bd2?xsec_token=ABXki5w1iMTuP0yYa-D3qX4ghUIb-Mo3sIu6drAD_tPJI=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/e698aff3c21e6a55cbba5421d32bc8e7/spectrum/1040g34o31r3t341ln20g49pjunnhaq6pe6nsdbo!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e9607a0edb5814010370039ba0e41450_259.mp4",""
19,"695f50b6000000001a02a9dd","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","请看！这些是我家里的舒适区","1.9万","4094","889","803","2026/01/13","【本期视频客户让睡衣回归睡眠】
#亚朵星球深睡睡衣[话题]#","[""#亚朵星球深睡睡衣""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/695f50b6000000001a02a9dd?xsec_token=ABl6W3KOvt9Euh19jUQ1PmjFJ0DjcSMtAmdqjDxHOjK3s=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/d716f553af7dbd994e8148df9ab7166f/spectrum/1040g34o31r2muqjdgm1049pjunnhaq6pgkpq8f0!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e9660e9e34ebf6010370039bb6ac943f_259.mp4",""
20,"695e0735000000002200baf8","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","热烈欢迎杨迪！","5.9万","5628","3980","9843","2026/01/07","“综艺一哥” @杨迪 不仅人好笑，带来的好物也好好玩！
【本期视频有恰零食没恰饭】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/695e0735000000002200baf8?xsec_token=ABF0RgbYg3gPU4Qg75IsM42lrwLRxuFUlWgK6mM0D68iI=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230133/9ff45fb26f1e656b1f7c5c266638db1d/spectrum/1040g0k031r1f3lcr720049pjunnhaq6pjl6o9qo!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e95e048404a4f2010370039b975b5f1a_259.mp4",""
21,"695c8275000000001a030410","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","太当家了！这些“牌柱子”至今我们都超爱！","1.3万","3247","561","360","2026/01/28","【本期视频由一位皇后赞助播出】
#YSL夜皇后精华[话题]#","[""#YSL夜皇后精华""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/695c8275000000001a030410?xsec_token=AB3RmZ6oSqmR_ImJQsdEoyGknf7DiuuQuh9FvC3LZVAwg=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230133/6d7577b42192650d81f139b9a354bc6a/spectrum/1040g34o31r00fls30m1049pjunnhaq6pgdnres0!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e979b4450fe348010370039c036c497d_259.mp4",""
22,"6954c234000000001e025325","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","来了来了！2026办公室交换礼物大会来了！","4.4万","3135","3227","4426","2025/12/31","各位新年快乐！
【本期视频无广只交换礼物】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/6954c234000000001e025325?xsec_token=AB99rFAf6kivHYFyEFTAzyAQhi-SqiYg6JBI5vTijoFjM=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230133/100e024235550b3bd4d81afdac467144/spectrum/1040g0k031qnc5ljj6u0049pjunnhaq6pvoqdbro!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e954c05421319e010370039b731dfe05_259.mp4",""
23,"694cd881000000001e021c8d","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","热烈欢迎胡彦斌~返场啦！","3.8万","3973","2158","3594","2025/12/25","本期视频又会有哪些好物变成“@胡彦斌 同款”呢？
【本期视频客户我玩到废寝忘食】
#假日乐消消[话题]#","[""#假日乐消消""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/694cd881000000001e021c8d?xsec_token=ABaBbJ1GtlTl21qznqVSZvYm3S4uNeDY-UpYWeq0rB1sM=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230133/8d82479ac3cda24a80a93fa5b873b2c6/spectrum/1040g34o31qgjkjlo721049pjunnhaq6ptc62qqo!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e94cb9c31f9943010370039b543b6165_259.mp4",""
24,"694cc9cd000000001f009385","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","方方面面！干干净净！的家居清洁好物！","1.4万","5521","543","814","2025/12/25","【本期视频客户留香30天】
#奥妙五星香护洗衣液[话题]#","[""#奥妙五星香护洗衣液""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/694cc9cd000000001f009385?xsec_token=ABaBbJ1GtlTl21qznqVSZvYr0r-zBlHrf7owa8Jo73QK0=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/61d99e3b221abec3a28cd905c8883505/spectrum/1040g34o31qgir1o0n01049pjunnhaq6pdi680t0!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e94cc9cd216fa0010370039b53fbe3b7_259.mp4",""
25,"694920c8000000001b033f24","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","我在家里特殊情况特殊处理的——清洁好物！","6.3万","3.9万","1663","4517","2025/12/22","【本期视频广告位开放】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/694920c8000000001b033f24?xsec_token=AB1NN6C3vKvMIJCGzAcMn2YpO-8v9UYTq4qKNyu8hjmHw=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/31d34903bf2f7f57793d40f97085fd16/spectrum/1040g0k031qd1oi3d6u0049pjunnhaq6pdieg3dg!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e94920c8dd4d1a010370039b45ac0b89_259.mp4",""
26,"694a2e10000000001e029f41","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","怎么什么都没干这一年就结束了啊啊啊啊啊","10万+","2.1万","1.3万","8.7万","2025/12/23","之【我这一年到底干了些啥？】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/694a2e10000000001e029f41?xsec_token=ABM3oRSZLV93ms2hVcpjuqa9V0eHjXPHwWdW4PA76Qgo8=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/5cb7c137df2ad8d4edcad53bf943a663/spectrum/1040g34o31qe3qeoa0m0g49pjunnhaq6pj2gcigo!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e94a2c502166bb010370039b49c56643_259.mp4",""
27,"6948fd08000000001b026e57","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","我的夜晚！舒舒服服！穿的用的喝的都好舒服","1万","2056","572","473","2025/12/22","【本期视频客户更新至3.0版本】
#亚朵星球深睡枕Pro3[话题]#","[""#亚朵星球深睡枕Pro3""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/6948fd08000000001b026e57?xsec_token=ABQI3J4VLFhcXft3vyFDZRQbB9cxmb3SVz6EOkos62Rpg=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/14851a35467170aff4adc9c376b44121/spectrum/1040g0k031qcqqfr5n00049pjunnhaq6ps8t9m9g!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e948fd08216e1e010370039b45206a84_259.mp4",""
28,"693bf535000000001e0226a6","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","好用爱用还耐用！能陪伴我很久的生活好物","4.3万","2万","2515","3404","2025/12/12","【本期视频客户钛好用了】
#富光纯钛保温杯[话题]#","[""#富光纯钛保温杯""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/693bf535000000001e0226a6?xsec_token=ABfh1RA8HRDyXwS7vg64ojQeIU18HpUVwwmmpTHodbl2Q=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/1ab373671ec16ee28ab74cb455eb8753/spectrum/1040g0k031q0790k6n40049pjunnhaq6pijh6cjo!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e93bf535db4ee0010370039b123a59b5_259.mp4",""
29,"67beeb9a000000001203e2d8","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","说是买给人类幼崽，但大人觉得也很OK的好物","3.1万","2万","1189","2791","2025/02/26","大人说好，小孩也说👍！
【本期视频没有客户童叟无欺】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/67beeb9a000000001203e2d8?xsec_token=ABaUCGv1Qc7-0tg9E5nVLyWVeNDvlwzCDThPGpK1v8EBE=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/4a01289ce97f9f7ec235ad861cce4509/spectrum/1040g34o31ec40f3q160g49pjunnhaq6pmasn2fo!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e7beeaa9520955010370039541d07456_259.mp4",""
30,"67bd74b0000000001203f90e","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","关键词：舒服！！！","1.2万","2163","1563","548","2025/03/20","摸着舒服看着舒服别人瞧见也很舒服的舒服好物分享！
【本期视频无广好舒服】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/67bd74b0000000001203f90e?xsec_token=ABz3EiF7Y2n4FCiQvjG8CH0vuFfBbqeZlw2E9-sRe988I=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/18e2b0d46ce8119c34c4974c5d240ced/spectrum/1040g34o31eam5fcd160g49pjunnhaq6poa0ts50!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e7bda456490e3e01037003953cdd5567_259.mp4",""
31,"67b6de6c000000001201cb9c","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","相见恨晚啊！这么好的东西我居然今天才用上","1.3万","4534","666","483","2025/02/20","【本期视频客户让眼周层层精致👁️】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/67b6de6c000000001201cb9c?xsec_token=ABHwFCmJCUoCpnuvTeOjay-XrSHxqQweLCVUCVqUuEumk=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/2168b7e146dbd3f9de81fcddf019ff24/spectrum/1040g0k031e48ro5n080049pjunnhaq6p6bjr0e8!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e7b6de3c4902130103700395225fc2dc_259.mp4",""
